timestamp,address,values
2025-11-24T15:55:58.139304,/muse/acc,"[0.2059326171875, -0.1021728515625, 0.98431396484375]"
2025-11-24T15:55:58.092615,/muse/acc,"[0.20263671875, -0.10137939453125, 0.9776611328125]"
2025-11-24T15:55:58.170775,/muse/eeg,"[806.2637362637363, 795.3846153846154, 498.02197802197804, 771.6117216117216]"
2025-11-24T15:55:58.201751,/muse/eeg,"[790.5494505494506, 797.8021978021978, 634.2124542124542, 776.8498168498169]"
2025-11-24T15:55:58.278932,/muse/eeg,"[798.2051282051282, 791.7582417582418, 703.1135531135532, 800.2197802197802]"
2025-11-24T15:55:58.310372,/muse/eeg,"[790.1465201465202, 786.9230769230769, 504.46886446886447, 799.4139194139194]"
2025-11-24T15:55:58.388433,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:55:58.451218,/muse/eeg,"[796.1904761904763, 788.9377289377289, 878.3882783882784, 812.3076923076924]"
2025-11-24T15:55:58.561309,/muse/gyro,"[4.5758056640625, -4.85992431640625, 3.117828369140625]"
2025-11-24T15:55:58.686042,/muse/gyro,"[4.3963623046875, -4.852447509765625, 3.745880126953125]"
2025-11-24T15:55:58.640036,/muse/eeg,"[783.2967032967033, 784.1025641025641, 768.7912087912088, 790.5494505494506]"
2025-11-24T15:55:58.749238,/muse/gyro,"[4.5159912109375, -3.63372802734375, 4.306640625]"
2025-11-24T15:55:58.780063,/muse/elements/alpha_absolute,"[1.365709282792307, 0.8660415763897413, 0.9472492683000144, 1.0160800915093646]"
2025-11-24T15:55:58.811453,/muse/elements/beta_absolute,"[0.6666525305987933, 0.4674409535591762, 0.9853979264338821, 0.8360431485187095]"
2025-11-24T15:55:58.872891,/muse/gyro,"[4.972076416015625, -0.59814453125, 5.14404296875]"
2025-11-24T15:55:58.841517,/muse/eeg,"[802.2344322344322, 784.5054945054945, 836.886446886447, 818.7545787545788]"
2025-11-24T15:55:58.934897,/muse/gyro,"[5.854339599609375, -0.007476806640625, 6.3104248046875]"
2025-11-24T15:55:59.010579,/muse/gyro,"[5.854339599609375, -0.007476806640625, 6.3104248046875]"
2025-11-24T15:55:59.073052,/muse/eeg,"[804.2490842490843, 787.3260073260074, 400.5128205128205, 796.1904761904763]"
2025-11-24T15:55:59.104436,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:55:59.151522,/muse/eeg,"[796.5934065934066, 782.893772893773, 652.3443223443223, 792.1611721611722]"
2025-11-24T15:55:59.246015,/muse/eeg,"[794.5787545787546, 767.1794871794872, 602.7838827838827, 811.5018315018315]"
2025-11-24T15:55:59.261661,/muse/eeg,"[790.1465201465202, 786.1172161172161, 742.1978021978023, 797.8021978021978]"
2025-11-24T15:55:59.339709,/muse/eeg,"[768.3882783882784, 765.9706959706959, 989.1941391941392, 784.1025641025641]"
2025-11-24T15:55:59.480395,/muse/elements/alpha_absolute,"[0.7646318498228275, 0.6248115446326141, 0.9472492683000144, 0.9154508195376619]"
2025-11-24T15:55:59.558800,/muse/eeg,"[787.7289377289378, 769.1941391941392, 823.5897435897436, 791.3553113553114]"
2025-11-24T15:55:59.606249,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:55:59.668185,/muse/elements/gamma_absolute,"[0.04446952901666384, -0.052023889687335303, 0.5136139700309592, 0.37088821407645767]"
2025-11-24T15:55:59.698188,/muse/elements/alpha_relative,"[0.35112069662921935, 0.23444406535914705, 0.23952359640232274, 0.3815277554068666]"
2025-11-24T15:55:59.713632,/muse/eeg,"[863.8827838827839, 793.3699633699634, 311.06227106227107, 859.8534798534798]"
2025-11-24T15:55:59.729399,/muse/eeg,"[875.9706959706959, 780.0732600732601, 559.2673992673992, 848.974358974359]"
2025-11-24T15:55:59.775893,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:55:59.853638,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:55:59.930846,/muse/eeg,"[836.0805860805862, 723.6630036630037, 586.6666666666666, 839.7069597069598]"
2025-11-24T15:55:59.991529,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:00.116489,/muse/eeg,"[836.0805860805862, 723.6630036630037, 586.6666666666666, 839.7069597069598]"
2025-11-24T15:56:00.178417,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:00.303897,/muse/elements/alpha_absolute,"[0.9557708950555202, 0.514250795032101, 0.9472492683000144, 0.8827221112849449]"
2025-11-24T15:56:00.257306,/muse/drlref,"[1617362.6373626373, 1596410.2564102563]"
2025-11-24T15:56:00.365991,/muse/eeg,"[789.7435897435897, 801.025641025641, 724.0659340659341, 786.5201465201466]"
2025-11-24T15:56:00.443654,/muse/eeg,"[808.2783882783883, 776.8498168498169, 549.1941391941392, 805.4578754578755]"
2025-11-24T15:56:00.505328,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:00.552561,/muse/eeg,"[814.7252747252747, 782.0879120879121, 513.3333333333334, 799.4139194139194]"
2025-11-24T15:56:00.567868,/muse/eeg,"[805.4578754578755, 795.7875457875458, 826.4102564102565, 806.2637362637363]"
2025-11-24T15:56:00.676363,/muse/eeg,"[798.6080586080586, 767.985347985348, 499.2307692307692, 796.1904761904763]"
2025-11-24T15:56:00.724293,/muse/eeg,"[784.5054945054945, 776.0439560439561, 658.7912087912088, 782.4908424908425]"
2025-11-24T15:56:00.801522,/muse/gyro,"[15.529327392578125, -9.338531494140625, -6.153411865234375]"
2025-11-24T15:56:00.847987,/muse/eeg,"[692.2344322344322, 773.2234432234433, 1568.2051282051282, 820.3663003663004]"
2025-11-24T15:56:00.863169,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:00.939778,/muse/gyro,"[0.246734619140625, 1.68975830078125, -10.938568115234375]"
2025-11-24T15:56:01.048055,/muse/eeg,"[856.6300366300367, 814.7252747252747, 538.3150183150183, 819.1575091575091]"
2025-11-24T15:56:01.127244,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:01.219978,/muse/acc,"[-0.10028076171875, 0.2867431640625, 0.96759033203125]"
2025-11-24T15:56:01.266455,/muse/eeg,"[813.5164835164835, 801.025641025641, 836.4835164835165, 786.1172161172161]"
2025-11-24T15:56:01.327028,/muse/acc,"[-0.0919189453125, 0.2352294921875, 0.99835205078125]"
2025-11-24T15:56:01.388343,/muse/acc,"[-0.0919189453125, 0.2352294921875, 0.99835205078125]"
2025-11-24T15:56:01.435982,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:01.498216,/muse/gyro,"[-10.848846435546875, -16.37420654296875, 0.336456298828125]"
2025-11-24T15:56:01.575405,/muse/eeg,"[783.6996336996338, 769.5970695970697, 951.3186813186813, 778.0586080586081]"
2025-11-24T15:56:01.636725,/muse/eeg,"[717.2161172161173, 791.7582417582418, 581.4285714285714, 745.8241758241759]"
2025-11-24T15:56:01.684215,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:01.763570,/muse/eeg,"[817.5457875457876, 803.040293040293, 698.6813186813187, 800.2197802197802]"
2025-11-24T15:56:01.810445,/muse/eeg,"[777.6556776556777, 767.5824175824176, 539.5238095238095, 788.5347985347986]"
2025-11-24T15:56:01.872157,/muse/eeg,"[820.3663003663004, 775.6410256410256, 559.6703296703297, 815.5311355311355]"
2025-11-24T15:56:01.918945,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:01.934697,/muse/eeg,"[776.4468864468864, 794.981684981685, 242.96703296703296, 784.9084249084249]"
2025-11-24T15:56:02.027141,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:02.150395,/muse/eeg,"[857.032967032967, 773.6263736263736, 743.0036630036631, 786.5201465201466]"

2025-11-24T15:56:02.198226,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:02.260344,/muse/eeg,"[875.5677655677656, 799.4139194139194, 767.5824175824176, 793.7728937728938]"
2025-11-24T15:56:02.305910,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
